time,AUDCAD,AUDUSD,EURGBP,GBPUSD,USDCAD,USDCHF,USDCNH,USDJPY
2016-07-08,0.0,0.0,0.0,-0.0,0.0,0.0,,-0.0
2016-07-11,0.0,-0.0,0.0,-0.0,0.0,0.0,,0.0
2016-07-12,0.0,0.0,0.01821725007487418,0.017314315130755764,0.0,0.0,,0.0
2016-07-13,0.0,0.0,-0.0,0.0,0.0,0.0,,0.0
2016-07-14,0.0,0.0,-0.0,0.0,-0.0,0.0,,0.0
2016-07-15,0.005505482363452607,0.0,-0.0,0.0,-0.0,-0.0,,0.0
2016-07-18,-0.0,0.0,-0.0,0.0,-0.0,-0.0,,0.0
2016-07-19,-0.0,0.015590183022248683,0.0,-0.0,-0.0,-0.0,,0.0
2016-07-20,-0.0,-0.0,-0.0,0.0,0.0,0.0,,0.0
2016-07-21,-0.0,-0.0,-0.0,-0.0,0.0,0.0,,0.0
2016-07-22,-0.0,-0.0,0.0,-0.0,0.0,0.0,,0.0
2016-07-25,0.0,-0.0,0.0,-0.0,0.0,0.0,,-0.0
2016-07-26,0.0,-0.0,-0.0,0.0,0.0,0.0,,-0.0
2016-07-27,0.0,0.0,0.0,0.0,0.0,-0.0,,-0.0
2016-07-28,0.0,0.0,0.0,-0.0,0.0,-0.0,,-0.0
2016-07-29,0.0,0.0,0.0,0.0,-0.0,-0.0,,-0.0
2016-08-01,0.0,0.0,0.0,0.0,0.007099526159670133,-0.0,,-0.0
2016-08-02,0.0,0.0,0.0,0.0,-0.0,-0.0,,-0.0
2016-08-03,0.0,0.0,0.0,0.0,-0.0,-0.0,,-0.0
2016-08-04,0.0,0.0,0.0,-0.0,-0.0,-0.0,,-0.0
2016-08-05,0.0,0.0,0.0,-0.0,0.0,0.0,,-0.0
2016-08-08,0.0,0.0,0.0,-0.0,0.0,0.0,,0.0
2016-08-09,0.0,0.0,0.0,-0.0,0.0,0.0,,0.0
2016-08-10,0.0,0.0,0.0,-0.0,-0.0,0.0,,0.0
2016-08-11,0.0,0.0,0.0,-0.0,-0.0,0.0,,0.0
2016-08-12,-0.0,0.0,0.0,-0.0,-0.0,-0.0,,-0.0
2016-08-15,0.015170008057603046,0.0,0.0,-0.0,-0.0,-0.0,,-0.0
2016-08-16,-0.0,0.0,0.0,0.0,-0.0,-0.0,,-0.0
2016-08-17,-0.0,0.005898008346174488,0.0,0.0,-0.0,-0.0,,-0.0
2016-08-18,-0.0,-0.0,0.0,0.0,-0.0,-0.0,,-0.0
2016-08-19,-0.0,-0.0,-0.0020419953420283132,0.0,-0.0,-0.0,,-0.0
2016-08-22,-0.0,-0.0,-0.0,0.0,0.0,-0.0,,-0.0
2016-08-23,-0.0,-0.0,-0.0,0.0,0.0039605192058135286,0.0012969918009836379,,-0.0
2016-08-24,0.0,-0.0,-0.0,0.0,0.0,0.0,,0.0
2016-08-25,0.0,-0.0,-0.0,0.0,0.0,0.0,,0.0
2016-08-26,0.0,-0.0,-0.0,0.0,0.0,0.0,,0.0
2016-08-29,-0.0,-0.0,-0.0,-0.0,0.0,0.0,,0.0
2016-08-30,0.0,-0.0,-0.0,-0.0,0.0,0.0,,0.0
2016-08-31,0.0,-0.0,-0.0,-0.0,0.0,0.0,,0.0
2016-09-01,0.0,-0.0,-0.0,0.0,0.0,0.0,,0.0
2016-09-02,-0.0,-0.0,-0.0,0.0,-0.0,0.0,,0.0
2016-09-05,-0.0,0.0,-0.0,0.0,-0.0,0.0,,0.0
2016-09-06,0.0,0.0,-0.0,0.0,-0.0,-0.0,,-0.0
2016-09-07,0.0,0.0,-0.0,0.0,-0.0,-0.0,,-0.0
2016-09-08,-0.0,0.0,0.0,0.0,-0.0,-0.0,,-0.0
2016-09-09,0.0,-0.0,0.0,-0.0,0.0,-0.0,,-0.0
2016-09-12,0.0,-0.0,0.0,0.0,0.0,-0.0,,-0.0
2016-09-13,-0.0,-0.0,0.0,0.01869458534270918,0.0,0.0,,0.0
2016-09-14,-0.0,-0.0,0.0,-0.0,0.0,0.0,,0.0
2016-09-15,-0.0,-0.0,0.0,-0.0,0.0,-0.0,,-0.0
2016-09-16,0.0,-0.0,0.0,-0.0,0.0,0.0,,-0.0
2016-09-19,0.0,-0.0,0.0,-0.0,0.0,0.0,,0.0
2016-09-20,0.0,0.012511791726024568,0.0,-0.0,0.0,0.0,,-0.0
2016-09-21,0.0,0.0,0.0,-0.0,-0.0,0.0,,-0.0
2016-09-22,0.0,0.0,0.0,-0.0,-0.0,-0.0,,-0.0
2016-09-23,0.0,0.0,0.0,-0.0,-0.0,-0.0,,-0.0
2016-09-26,0.0,0.0,0.0,-0.0,0.0,-0.0,,-0.0
2016-09-27,0.0,0.0,0.0,0.0,0.0,-0.0,,-0.0
2016-09-28,-0.007415344085963449,0.0,0.0,-0.0,-0.0,-0.0,,0.0
